Architecture,State,StateName,ConvertedUnit,OriginalUnit,R2,MAE,RMSE
small,36,CylinderlengthLift,m,m,0.7267816662788391,0.01845111884176731,0.027075737714767456
small,37,CylinderlengthTilt,m,m,0.7256546914577484,0.037018321454524994,0.0554690882563591
medium,0,IqRefLift,A,A,0.9883797680959105,0.36015963554382324,0.886025071144104
medium,1,IqRefTilt,A,A,0.9912494607269764,0.37941890954971313,0.7435569763183594
medium,2,UdRefLift,V,V,0.963348887860775,1.2606998682022095,1.6964950561523438
medium,3,UqRefLift,V,V,0.941529143601656,3.4166386127471924,5.274083614349365
medium,4,UdRefTilt,V,V,0.9742810819298029,0.7447747588157654,1.1002702713012695
medium,5,UqRefTilt,V,V,0.943657424300909,3.2908828258514404,5.311028480529785
medium,6,IdLift,A,A,0.9901841776445508,0.0004402066406328231,0.0015803740825504065
medium,7,IqLift,A,A,0.9872919162735343,0.35038429498672485,0.9067977070808411
medium,8,IdTilt,A,A,0.9874820047989488,0.0006219163187779486,0.002780267270281911
medium,9,IqTilt,A,A,0.988737435080111,0.4014749228954315,0.8238160014152527
medium,10,PsidLift,Wb,Wb,0.9901841599494219,1.699256245046854e-06,6.100247901486e-06
medium,11,PsiqLift,Wb,Wb,0.9872919172048569,0.0011597718112170696,0.003001500153914094
medium,12,PsidTilt,Wb,Wb,0.987481988966465,2.400593302809284e-06,1.0731838301580865e-05
medium,13,PsiqTilt,Wb,Wb,0.9887374378740788,0.0013288813643157482,0.0027268310077488422
medium,14,VoilLift,m^3/s,m^3/s,0.9658578671514988,3.9230815218616044e-07,1.5619393707311247e-06
medium,15,VoilTilt,m^3/s,m^3/s,0.8132995069026947,8.573008381063119e-05,0.00011106414604000747
medium,16,PaccLift,bar,Pa,0.9790287036448717,2768.94482421875,5487.76513671875
medium,17,PaccTilt,bar,Pa,0.9345727115869522,14043.0888671875,18698.177734375
medium,18,PSALift,bar,Pa,0.9859709898009896,141288.828125,322584.28125
medium,19,PSBLift,bar,Pa,0.998949141590856,13404.376953125,35677.55859375
medium,20,PSATilt,bar,Pa,0.9943829597905278,18147.091796875,41916.1328125
medium,21,PSBTilt,bar,Pa,0.991581516340375,157273.734375,265010.5
medium,22,xDotALift,m/s,m/s,0.9948102766647935,1.2879208043159451e-05,5.122331276652403e-05
medium,23,xDotBLift,m/s,m/s,0.9937925417907536,1.481983872508863e-05,5.561508805840276e-05
medium,24,xDotATilt,m/s,m/s,0.996306864079088,1.978501313715242e-05,7.248228939715773e-05
medium,25,xDotBTilt,m/s,m/s,0.9842401463538408,1.1239472769375425e-05,7.120403461158276e-05
medium,26,SpeedRPMLift,RPM,rad/s,0.9105938673019409,4.31670618057251,6.0888352394104
medium,27,SpeedRPMTilt,RPM,rad/s,0.910630002617836,4.317401885986328,6.090163707733154
medium,28,PpistonLift,bar,Pa,0.9860367830842733,140717.234375,322271.125
medium,29,ProdLift,bar,Pa,0.9985018953448161,14843.01953125,43794.72265625
medium,30,ProdTilt,bar,Pa,0.9913840666413307,162277.09375,276650.75
medium,31,PpistonTilt,bar,Pa,0.9943142277188599,17747.810546875,42625.61328125
medium,32,ThetaDotLift,deg/s,rad/s,0.9830640498548746,0.010600728914141655,0.019399141892790794
medium,33,ThetaLift,deg,rad,0.7990164905786514,0.04909689351916313,0.0734281837940216
medium,34,ThetaDotTilt,deg/s,rad/s,0.9750215653330088,0.026707177981734276,0.050534624606370926
medium,35,ThetaTilt,deg,rad,0.7521432042121887,0.1212010458111763,0.1890527307987213
medium,36,CylinderlengthLift,m,m,0.8015895038843155,0.015470755286514759,0.023073194548487663
medium,37,CylinderlengthTilt,m,m,0.7980894148349762,0.031145533546805382,0.04758628457784653
original,0,IqRefLift,A,A,0.9766568411141634,0.5961606502532959,1.2557940483093262
original,1,IqRefTilt,A,A,0.9720738977193832,0.8025684952735901,1.3283177614212036
original,2,UdRefLift,V,V,0.9531532302498817,1.5874671936035156,1.9180010557174683
original,3,UqRefLift,V,V,0.902599073946476,4.598004341125488,6.8070478439331055
original,4,UdRefTilt,V,V,0.9791068751364946,0.7061094641685486,0.9916872382164001
original,5,UqRefTilt,V,V,0.8956335932016373,4.909473896026611,7.22837495803833
original,6,IdLift,A,A,0.9666709043085575,0.0007473540608771145,0.0029121136758476496
original,7,IqLift,A,A,0.9759475812315941,0.618212103843689,1.2475264072418213
original,8,IdTilt,A,A,0.966621857136488,0.0012119546299800277,0.004539940971881151
original,9,IqTilt,A,A,0.9703393559902906,0.7819429039955139,1.3369090557098389
original,10,PsidLift,Wb,Wb,0.9666708558797836,2.8847705380030675e-06,1.124076334235724e-05
original,11,PsiqLift,Wb,Wb,0.9759475812315941,0.0020462831016629934,0.004129312001168728
original,12,PsidTilt,Wb,Wb,0.9666218459606171,4.678127424995182e-06,1.7524176655570045e-05
original,13,PsiqTilt,Wb,Wb,0.9703393634408712,0.0025882315821945667,0.004425168968737125
original,14,VoilLift,m^3/s,m^3/s,0.9534109681844711,7.412623403979524e-07,1.8245706314701238e-06
original,15,VoilTilt,m^3/s,m^3/s,0.9109325706958771,6.320564716588706e-05,7.67115197959356e-05
original,16,PaccLift,bar,Pa,0.965926855802536,3633.65869140625,6995.0205078125
original,17,PaccTilt,bar,Pa,0.43860143423080444,40817.88671875,54771.60546875
original,18,PSALift,bar,Pa,0.9752092752605677,223480.96875,428819.28125
original,19,PSBLift,bar,Pa,0.9955380479805171,26440.828125,73516.609375
original,20,PSATilt,bar,Pa,0.9756909795105457,54534.22265625,87198.9296875
original,21,PSBTilt,bar,Pa,0.9693879149854183,348033.96875,505350.40625
original,22,xDotALift,m/s,m/s,0.9874626938253641,2.5874342099996284e-05,7.961551455082372e-05
original,23,xDotBLift,m/s,m/s,0.9855160787701607,2.1697922420571558e-05,8.49530115374364e-05
original,24,xDotATilt,m/s,m/s,0.9765819199383259,4.442262797965668e-05,0.00018251975416205823
original,25,xDotBTilt,m/s,m/s,0.9613943919539452,1.7755384760675952e-05,0.00011144323070766404
original,26,SpeedRPMLift,RPM,rad/s,0.881649799644947,5.784610271453857,7.005434036254883
original,27,SpeedRPMTilt,RPM,rad/s,0.8818729668855667,5.780614852905273,7.001768589019775
original,28,PpistonLift,bar,Pa,0.975120497867465,224088.46875,430179.28125
original,29,ProdLift,bar,Pa,0.9947775416076183,26646.537109375,81768.90625
original,30,ProdTilt,bar,Pa,0.9703288320451975,349207.0625,513390.75
original,31,PpistonTilt,bar,Pa,0.9749872591346502,57471.2265625,89403.921875
original,32,ThetaDotLift,deg/s,rad/s,0.965349979698658,0.015819210559129715,0.027747860178351402
original,33,ThetaLift,deg,rad,0.9243657663464546,0.03421686217188835,0.04504450038075447
original,34,ThetaDotTilt,deg/s,rad/s,0.9498806335031986,0.0443899966776371,0.07158289104700089
original,35,ThetaTilt,deg,rad,0.9145484492182732,0.08081384003162384,0.11100499331951141
original,36,CylinderlengthLift,m,m,0.9244157001376152,0.01083451695740223,0.014241023920476437
original,37,CylinderlengthTilt,m,m,0.9239186719059944,0.0218349602073431,0.029210656881332397
